Date,Consumption,Hour
09.01.2016,32601.8,S20
09.01.2016,32075.3,S21
09.01.2016,32154.6,S22
09.01.2016,30738.7,S23
10.01.2016,28869.0,S0
10.01.2016,27112.3,S1
10.01.2016,25634.1,S2
10.01.2016,24915.8,S3
10.01.2016,24516.2,S4
10.01.2016,24593.8,S5
10.01.2016,24456.1,S6
10.01.2016,23791.5,S7
10.01.2016,24654.9,S8
10.01.2016,26671.1,S9
10.01.2016,28113.9,S10
10.01.2016,29037.2,S11
10.01.2016,28925.3,S12
10.01.2016,28922.5,S13
10.01.2016,29067.3,S14
10.01.2016,29425.3,S15
10.01.2016,30546.6,S16
10.01.2016,31984.0,S17
10.01.2016,31684.4,S18
10.01.2016,31284.0,S19
10.01.2016,30848.3,S20
10.01.2016,30441.0,S21
10.01.2016,30515.9,S22
10.01.2016,28836.2,S23
11.01.2016,27109.7,S0
11.01.2016,25382.1,S1
11.01.2016,24434.5,S2
11.01.2016,23938.7,S3
11.01.2016,23817.3,S4
11.01.2016,24336.8,S5
11.01.2016,25779.3,S6
11.01.2016,27314.2,S7
11.01.2016,32661.2,S8
11.01.2016,35689.6,S9
11.01.2016,36685.8,S10
11.01.2016,37267.3,S11
11.01.2016,35700.9,S12
11.01.2016,36030.8,S13
11.01.2016,36361.2,S14
11.01.2016,35991.5,S15
11.01.2016,36826.5,S16
11.01.2016,37348.5,S17
11.01.2016,35677.5,S18
11.01.2016,34462.2,S19
11.01.2016,33506.6,S20
11.01.2016,32613.9,S21
11.01.2016,32770.8,S22
11.01.2016,31127.1,S23
12.01.2016,29161.6,S0
12.01.2016,27519.2,S1
12.01.2016,26256.4,S2
12.01.2016,25766.1,S3
12.01.2016,25808.9,S4
12.01.2016,26222.0,S5
12.01.2016,27290.1,S6
12.01.2016,28628.7,S7
12.01.2016,32817.0,S8
12.01.2016,34991.3,S9
12.01.2016,35653.0,S10
12.01.2016,36011.5,S11
12.01.2016,34256.5,S12
12.01.2016,34650.7,S13
12.01.2016,34934.0,S14
12.01.2016,34785.1,S15
12.01.2016,35690.3,S16
12.01.2016,36566.5,S17
12.01.2016,35056.0,S18
12.01.2016,33912.9,S19
12.01.2016,33132.0,S20
12.01.2016,32332.8,S21
12.01.2016,32523.1,S22
12.01.2016,30906.9,S23
13.01.2016,28823.0,S0
13.01.2016,27321.7,S1
13.01.2016,26265.2,S2
13.01.2016,25879.1,S3
13.01.2016,25685.1,S4
13.01.2016,26020.1,S5
13.01.2016,27012.7,S6
13.01.2016,28420.2,S7
13.01.2016,32572.4,S8
13.01.2016,35554.8,S9
13.01.2016,36470.5,S10
13.01.2016,36962.0,S11
13.01.2016,35458.5,S12
13.01.2016,35858.2,S13
13.01.2016,36201.4,S14
13.01.2016,36012.3,S15
13.01.2016,36785.8,S16
13.01.2016,37173.8,S17
13.01.2016,35578.3,S18
13.01.2016,34298.7,S19
13.01.2016,33580.5,S20
13.01.2016,32554.1,S21
13.01.2016,32836.5,S22
13.01.2016,31307.9,S23
14.01.2016,29226.0,S0
14.01.2016,27650.4,S1
14.01.2016,26664.3,S2
14.01.2016,26239.4,S3
14.01.2016,26136.0,S4
14.01.2016,26689.3,S5
14.01.2016,27652.9,S6
14.01.2016,29177.0,S7
14.01.2016,33352.2,S8
14.01.2016,35815.1,S9
14.01.2016,36810.0,S10
14.01.2016,37010.8,S11
14.01.2016,35461.5,S12
14.01.2016,35859.7,S13
14.01.2016,36279.5,S14
14.01.2016,35936.7,S15
14.01.2016,36827.6,S16
14.01.2016,37481.9,S17
14.01.2016,36195.4,S18
14.01.2016,34914.8,S19
14.01.2016,34091.8,S20
14.01.2016,33323.9,S21
14.01.2016,33345.0,S22
14.01.2016,31938.6,S23
15.01.2016,29667.0,S0
15.01.2016,27961.7,S1
15.01.2016,26760.1,S2
15.01.2016,26351.4,S3
15.01.2016,26190.0,S4
15.01.2016,26646.4,S5
15.01.2016,27845.5,S6
15.01.2016,29266.5,S7
15.01.2016,33637.7,S8
15.01.2016,36386.3,S9
15.01.2016,36970.5,S10
15.01.2016,37103.2,S11
15.01.2016,34121.3,S12
15.01.2016,35523.2,S13
15.01.2016,35717.4,S14
15.01.2016,35343.5,S15
15.01.2016,36473.2,S16
15.01.2016,37425.8,S17
15.01.2016,36020.0,S18
15.01.2016,34575.0,S19
15.01.2016,33756.4,S20
15.01.2016,33140.3,S21
15.01.2016,33272.5,S22
15.01.2016,31803.3,S23
16.01.2016,29790.9,S0
16.01.2016,28108.7,S1
16.01.2016,26867.2,S2
16.01.2016,26241.3,S3
16.01.2016,25928.6,S4
16.01.2016,26137.3,S5
16.01.2016,26617.7,S6
16.01.2016,27115.2,S7
16.01.2016,30856.9,S8
16.01.2016,33420.0,S9
16.01.2016,34766.4,S10
16.01.2016,35337.0,S11
16.01.2016,34062.0,S12
16.01.2016,33973.6,S13
16.01.2016,33592.6,S14
16.01.2016,33087.8,S15
16.01.2016,33693.5,S16
16.01.2016,34599.7,S17
16.01.2016,33773.4,S18
16.01.2016,32770.6,S19
16.01.2016,32167.6,S20
16.01.2016,31414.5,S21
16.01.2016,31666.2,S22
16.01.2016,30292.7,S23
17.01.2016,28125.6,S0
17.01.2016,26344.1,S1
17.01.2016,25233.2,S2
17.01.2016,24526.4,S3
17.01.2016,24131.3,S4
17.01.2016,24277.1,S5
17.01.2016,24149.2,S6
17.01.2016,23448.7,S7
17.01.2016,24484.3,S8
17.01.2016,26064.3,S9
17.01.2016,27602.7,S10
17.01.2016,28719.2,S11
17.01.2016,28966.0,S12
17.01.2016,29082.0,S13
17.01.2016,29060.2,S14
17.01.2016,28859.4,S15
17.01.2016,29986.1,S16
17.01.2016,31083.4,S17
17.01.2016,31046.2,S18
17.01.2016,30619.9,S19
17.01.2016,30216.4,S20
17.01.2016,29589.8,S21
17.01.2016,29593.3,S22
17.01.2016,28448.5,S23
18.01.2016,26425.2,S0
18.01.2016,25112.6,S1
18.01.2016,24197.2,S2
18.01.2016,23839.8,S3
18.01.2016,23756.2,S4
18.01.2016,24217.9,S5
18.01.2016,25384.1,S6
18.01.2016,27192.8,S7
18.01.2016,32775.7,S8
18.01.2016,36291.8,S9
18.01.2016,37563.4,S10
18.01.2016,38417.3,S11
18.01.2016,37351.1,S12
18.01.2016,37971.5,S13
18.01.2016,38264.2,S14
18.01.2016,37831.2,S15
18.01.2016,38590.6,S16
18.01.2016,38930.6,S17
18.01.2016,37080.0,S18
18.01.2016,35590.8,S19
18.01.2016,34671.6,S20
18.01.2016,33765.0,S21
18.01.2016,33590.2,S22
18.01.2016,32035.2,S23
19.01.2016,29648.1,S0
19.01.2016,28023.3,S1
19.01.2016,26957.4,S2
19.01.2016,26389.7,S3
19.01.2016,26152.7,S4
19.01.2016,26578.7,S5
19.01.2016,27561.3,S6
19.01.2016,29127.6,S7
19.01.2016,34277.1,S8
19.01.2016,37597.7,S9
19.01.2016,38680.8,S10
19.01.2016,39329.9,S11
19.01.2016,37912.2,S12
19.01.2016,38232.3,S13
19.01.2016,38431.5,S14
19.01.2016,37914.7,S15
19.01.2016,38254.4,S16
19.01.2016,39006.3,S17
19.01.2016,37419.6,S18
19.01.2016,35893.9,S19
19.01.2016,35025.0,S20
19.01.2016,34132.0,S21
19.01.2016,34201.2,S22
19.01.2016,32449.6,S23
20.01.2016,30139.5,S0
20.01.2016,28410.9,S1
20.01.2016,27406.3,S2
20.01.2016,26722.6,S3
20.01.2016,26551.3,S4
20.01.2016,27065.9,S5
20.01.2016,28039.3,S6
20.01.2016,29469.2,S7
20.01.2016,34531.4,S8
20.01.2016,37962.2,S9
20.01.2016,38993.9,S10
20.01.2016,39668.1,S11
20.01.2016,38295.2,S12
20.01.2016,38719.3,S13
20.01.2016,39016.8,S14
20.01.2016,38583.9,S15
20.01.2016,39061.1,S16
20.01.2016,39678.9,S17
20.01.2016,37842.8,S18
20.01.2016,36242.1,S19
20.01.2016,35265.5,S20
20.01.2016,34443.0,S21
20.01.2016,34423.9,S22
20.01.2016,32661.5,S23
21.01.2016,30396.2,S0
21.01.2016,28597.5,S1
21.01.2016,27458.6,S2
21.01.2016,26728.8,S3
21.01.2016,26819.7,S4
21.01.2016,27295.2,S5
21.01.2016,28233.8,S6
21.01.2016,29534.7,S7
21.01.2016,34553.1,S8
21.01.2016,37885.3,S9
21.01.2016,39233.4,S10
21.01.2016,39895.5,S11
21.01.2016,38431.1,S12
21.01.2016,37369.7,S13
21.01.2016,38991.0,S14
21.01.2016,38424.5,S15
21.01.2016,38816.1,S16
21.01.2016,39201.7,S17
21.01.2016,37540.5,S18
21.01.2016,36208.8,S19
21.01.2016,35322.0,S20
21.01.2016,34453.4,S21
21.01.2016,34506.7,S22
21.01.2016,32959.4,S23
22.01.2016,30390.0,S0
22.01.2016,28517.3,S1
22.01.2016,27397.3,S2
22.01.2016,26696.2,S3
22.01.2016,26636.3,S4
22.01.2016,27118.8,S5
22.01.2016,28127.6,S6
22.01.2016,29345.1,S7
22.01.2016,34622.1,S8
22.01.2016,38179.8,S9
22.01.2016,39033.0,S10
22.01.2016,39070.9,S11
22.01.2016,36760.5,S12
22.01.2016,38030.5,S13
22.01.2016,38467.9,S14
22.01.2016,38201.5,S15
22.01.2016,38866.1,S16
22.01.2016,39255.6,S17
22.01.2016,37130.4,S18
22.01.2016,35315.9,S19
22.01.2016,34779.4,S20
22.01.2016,33927.1,S21
22.01.2016,34209.6,S22
22.01.2016,32617.8,S23
23.01.2016,30215.9,S0
23.01.2016,28509.7,S1
23.01.2016,27311.1,S2
23.01.2016,26492.0,S3
23.01.2016,26476.8,S4
23.01.2016,26720.3,S5
23.01.2016,27058.2,S6
23.01.2016,27679.2,S7
23.01.2016,31739.4,S8
23.01.2016,35066.1,S9
23.01.2016,36711.4,S10
23.01.2016,37728.1,S11
23.01.2016,36953.3,S12
23.01.2016,36764.4,S13
23.01.2016,36555.0,S14
23.01.2016,35898.8,S15
23.01.2016,35914.3,S16
23.01.2016,36651.2,S17
23.01.2016,35931.1,S18
23.01.2016,34781.2,S19
23.01.2016,33952.8,S20
23.01.2016,33131.5,S21
23.01.2016,33030.1,S22
23.01.2016,31630.8,S23
24.01.2016,29349.5,S0
24.01.2016,27481.0,S1
24.01.2016,26088.3,S2
24.01.2016,25306.0,S3
24.01.2016,24973.2,S4
24.01.2016,25001.9,S5
